0|Arte abstracta, Arte não figurativa
1|Religião e Magia
10|(simbólico) representações ~ criação, cosmos, cosmogonia, universo, e vida (em sentido lato)
11|Religião cristã
11A|Divindade, Deus (em geral) ~ religião cristã 
11A1|Deus o Criador
11A11|Deus medindo o Universo (com compasso)
11A2|Natureza Divina
11A21|Divino, "Divindade" (Ripa)
11A22|símbolos ~ Natureza Divina
11A221|círculo simbolizando a perfeição de Deus
11A23|perfeição de Deus
11A3|ira de Deus
11A31|"Flagelo de Deus" (Ripa)
11A4|vontade de Deus
11B|Santíssima Trindade, "Trinitas coelestis", Pai, Filho e Espírito Santo ~ religião cristã
11B1|Santíssima Trindade representada por símbolos tripartidos
11B11|símbolos da Santíssima Trindade ~ formas ou combinações circulares e/ou triangulares 
11B111|três círculos concêntricos ~ Santíssima Trindade
11B112|três círculos interligados ~ Santíssima Trindade
11B113|triângulo (dentro de círculo), com olho ou tetragrama ~ Santíssima Trindade
11B114|três animais, geometricamente dispostos dentro de círculo ou triângulo ~ Santíssima Trindade 
11B115|três homens correndo, dispostos numa forma circular ~ Santíssima Trindade
11B12|Santíssima Trindade representada como uma pessoa com três cabeças
11B121|"Tricephalus", três cabeças ou três rostos fundidos num único ~ Santíssima Trindade 
11B13|Santíssima Trindade representada por três animais com uma única cabeça
11B14|outros símbolos tripartidos da Santíssima Trindade
11B2|representação da Santíssima Trindade em que cada Pessoa (Pai, Filho e Espírito Santo) é representada por um objecto ou um animal
11B21|representação da Santíssima Trindade: mão (Pai), cordeiro (Filho) e pomba (Espírito Santo)
11B22|representação da Santíssima Trindade: mão, cruz e pomba
11B23|representação da Santíssima Trindade: mão, cálice e pomba
11B3|Santíssima Trindade em que uma, duas ou todas as figuras são representadas na forma humana
11B31|Santíssima Trindade representada como três pessoas
11B311|Santíssima Trindade representada como três pessoas idênticas
11B312|Deus e o Espírito Santo segurando Cristo crucificado (~ Santíssima Trindade)
11B32|Santíssima Trindade na qual Deus Pai e Cristo são representados como pessoas, o Espírito Santo como uma pomba
11B321|Deus Pai sentado, sustentando Cristo jovem (Emmanuel) nos joelhos 
11B322|Deus Pai e Cristo entronizados
11B3221|Deus Pai e Cristo como pessoas idênticas
11B3222|Cristo mostra as suas chagas
11B323|Deus Pai segurando Cristo crucificado ou morto
11B3231|Deus Pai segurando o crucifixo, "Gnadenstuhl", Trono de Graça
11B3232|Deus Pai em pé ou sentado, segurando o corpo de Cristo, "Pitié-de-Notre-Seigneur", "Not Gottes"
11B33|representações da Santíssima Trindade
11B331|representação da Santíssima Trindade: pessoa (Pai), cordeiro (Filho) e pomba (Espírito Santo)
11B332|representação da Santíssima Trindade: pessoa (Pai), leão (Filho) e pomba (Espírito Santo)
11B333|representação da Santíssima Trindade: símbolo (Pai), pessoa (Filho) e pomba (Espírito Santo)
11B4|"Ratschluss der Erlösung", "Prolog im Himmel"; decreto divino da Redenção
11B41|decreto divino da Redenção, figuras alegóricas presentes, e.g. Justiça, Misericórida, Paz e Verdade (reconciliação das Virtudes)
11B42|o envio de Gabriel ~ "Ratschluss der Erlösung"
11B43|o regresso de Gabriel ~ "Ratschluss der Erlösung"
11B44|o envio do Filho ~ "Ratschluss der Erlösung"
11B45|o regresso do Filho ~ "Ratschluss der Erlösung"
11B5|representações da Santíssima Trindade estendida a outras figuras
11B51|Quarteto (i.e.Santíssima Trindade com a Virgem Maria) 
11B52|Quinteto (i.e. Santíssima Trindade com a Virgem Maria e o Menino Jesus
11C|Deus Pai
11C1|símbolos de Deus Pai
11C11|o olho que tudo vê, triângulo com olho ~ símbolo de Deus Pai 
11C12|mão, "Dextera Dei" ~ símbolo de Deus Pai
11C13|tetragrama (em caracteres romanos ou hebraicos) - símbolo de Deus Pai
11C14|(coluna de) fogo - símbolo de Deus Pai
11C15|(raios de) luz - símbolo de Deus Pai
11C16|alfa e omega - símbolo de Deus Pai
11C2|Deus Pai representado como ser humano, normalmente com coroa ou tiara ou ceptro e/ou globo
11C21|Deus Pai representado como jovem ou homem adulto (talvez semelhante a Cristo)
11C211|Deus Pai entronizado, normalmente com ceptro e/ou globo
11C22|Deus Pai representado como jovem ou homem adulto semelhante a Júpiter
11C221|Deus Pai (semelhante a Júpiter) entronizado, normalmente com ceptro e/ou globo
11C23|Deus Pai representado como velho de barbas, normalmente com coroa ou tiara e/ou globo
11C231|Deus Pai (representado como velho de barbas) entronizado, normalmente com coroa ou tiara, e com ceptro e/ou globo
11C3|Cristo sentado à direita de Deus
11C31|Deus a coroar Cristo
11C32|Deus a coroar simultaneamente Cristo e a Virgem Maria 
11C4|"Scala Salutis", Cristo e a Virgem Maria intercedendo junto de Deus Pai
11C41|Cristo intercedendo junto de Deus Pai
11C5|outras representações - Deus Pai
11C51|Deus Pai entre o sol e a lua
11D|Cristo
11D1|simbolos e prefigurações de Cristo
11D11|letras e monogramas ~ símbolos de Cristo
11D111|alfa e ómega, por vezes com coroa, triângulo, instrumentos da Paixão, etc. ~ símbolos de Cristo
11D112|Chrismon e formas derivadas ~ símbolos de Cristo
11D113|IHS ("Iesus Hominum Salvator"). ~ símbolo de Cristo
11D1131|lábaro, i.e., estandarte imperial com o monograma IHS
11D1132|adoração do nome de Jesus
11D114|"Ichthys" ~ símbolos de Cristo
11D12|a cruz ~ símbolos de Cristo
11D121|cruz como símbolo de Cristo
11D122|cruz com símbolo de Cristo, e.g. cordeiro
11D1221|cruz com cabeça ou busto de Cristo
11D123|formas específicas da cruz
11D123(...)|formas específicas da cruz (com NOME)
11D123(ANDREW'S CROSS)|formas específicas da cruz: cruz de santo André
11D123(ANSATE CROSS)|formas específicas da cruz: cruz ansata
11D123(BENEDICTINE CROSS)|formas específicas da cruz: cruz beneditina
11D123(CARAVACA CROSS)|formas específicas da cruz: cruz caravaca
11D123(FORKED CROSS)|formas específicas da cruz: cruz bifurcada
11D123(GREEK CROSS)|formas específicas da cruz: cruz grega
11D123(LORRAINE CROSS)|formas específicas da cruz: cruz de Lorena 
11D123(SWASTIKA)|formas específicas da cruz: suástica
11D123(TAU-CROSS)|formas específicas da cruz: tau
11D124|venerando a cruz
11D13|(outros) símbolos de Cristo
11D131|símbolos de Cristo ~ animais
11D1311|cordeiro com a cruz ou estandarte, "Agnus Dei" ~ símbolo de Cristo
11D1312|simbolos de Cristo ~ pássaros
11D13121|pomba como um símbolo de Cristo
11D13122|águia como um símbolo de Cristo
11D13123|pavão como um símbolo de Cristo
11D13124|pelicano como um símbolo de Cristo
11D1313|simboli di Cristo ~ mamíferos
11D13131|cervo como um símbolo de Cristo
11D13132|golfinho como um símbolo de Cristo
11D13133|lebre como um símbolo de Cristo
11D13134|leão como um símbolo de Cristo
11D1314|simboli di Cristo ~ insetos
11D13141|scarabaeus como um símbolo de Cristo
11D1315|simboli di Cristo ~ animais fantásticos
11D13151|grifo como um símbolo de Cristo
11D13152|fénix como um símbolo de Cristo
11D13153|unicórnio como um símbolo de Cristo
11D132|símbolos de Cristo ~ plantas
11D133|símbolos de Cristo ~ objectos
11D1331|"Etimasia", trono vazio, com o livro da vida, preparado para Cristo
11D134|pão e peixe ~ símbolos de Cristo
11D14|prefigurações de Cristo, Cristo e as suas prefigurações
11D15|a Encarnação ~ Cristo
11D2|Cristo como criança ou jovem (em geral) ~ religião cristã
11D21|Menino Jesus (com atributos)
11D22|Menino Jesus ~ tipos de Cristo 
11D23|Menino Jesus ~ Paixão, "Schmerzenskind"
11D231|Menino Jesus meditando antes de os instrumentos da Paixão
11D232|Menino Jesus cercado pelos instrumentos da Paixão
11D233|Menino Jesus levando os instrumentos da Paixão
11D234|Menino Jesus exibindo as cinco chagas
11D235|Menino Jesus enrolando uma coroa de espinhos, ou com galhos espinhosos
11D236|Menino Jesus carregando a cruz
11D237|Menino Jesus de joelhos diante da cruz
11D238|Menino Jesus dormindo sobre a cruz
11D24|Menino Jesus como símbolo eucarístico
11D241|Menino Jesus dentro ou sobre um cálice
11D2411|Melismos ~ Menino Jesus como símbolo eucarístico
11D242|Menino Jesus no moinho místico
11D25|Menino Jesus junto com os outros
11D26|Cristo como jovem
11D261|Cristo "Emmanuel"
11D3|Cristo
11D31|retratos de Cristo
11D311|"Mandylion", i.e., retrato, talvez feito para o Rei Abgar de Edessa pelo próprio Cristo, pressionando o seu rosto num pano
11D3111|Cristo dá o Mandylion ao mensageiro do Rei Abgar
11D3112|o Mandylion é levado para Edessa
11D312|"Vera Icon","Sudarium", Verónica-retrato
11D3121|"Vera Icon", seguro por Veronica
11D3122|"Vera Icon", seguro por anjos
11D3123|"Vera Icon", seguro por Pedro e Paulo
11D3124|"Vera Icon", seguro pelos quatro símbolos dos evangelistas
11D313|retrato de Cristo de acordo com a carta de Lentulus
11D314|"Volto santo", e.g., de Lucca (talvez esculpido por Nicodemos)
11D315|retrato de Cristo feito por Lucas
11D316|ex-voto da mulher curada do fluxo de sangue
11D317|imagem (de corpo inteiro) de Cristo na mortalha, "Sindone"
11D318|(outros) retratos de Cristo, e.g., retrato de perfil
11D32|tipos específicos de Cristo (sem outros)
11D321|"Majestas Domini": Cristo em mandorla sentado num arco-íris ou esfera e acompanhado pelo Tetramorfo
11D322|Cristo entronizado
11D3221|"Pantocrator", (busto de) Cristo, discurssando ou abençoando e segurando um livro
11D3222|"Christus Rex"
11D3223|Cristo como juiz (celeste) 
11D323|Cristo "Logos", o Verbo Encarnado
11D324|"Salvator Mundi" (Salvador do Mundo), abençoando; uma esfera na sua mão ou a seus pés
11D325|Cristo ~ a Eucaristia
11D3251|Cristo com cálice, e pão ou Hóstia
11D3252|Cristo no lagar, "Christus in der Kelter" (Is. 63:3)
11D3253|Cristo no moinho simbólico
11D326|"Fons Vitae", "Fons pietatis"
11D3261|Cristo de pé sobre ou junto de uma fonte, derramando o seu sangue
11D3262|Cristo crucificado (em uma fonte), derramando o seu sangue
11D327|Cristo ~ ocupações humanas
11D3271| Cristo como o Bom Pastor
11D3272| Cristo como médico
11D32721|Cristo como boticário
11D3273|Cristo pescando 
11D3274| Cristo como mendigo
